[Network]
Network Settings
RECORDNAME,DATA
UTDFVERSION,8
Metric,0
yellowTime,4.0
allRedTime,0.5
Walk,5.0
DontWalk,11.0
HV,0.02
PHF,0.90
DefWidth,12
DefFlow,1900
vehLength,25
heavyvehlength,45
criticalgap,4.5
followuptime,2.5
stopthresholdspeed,5.0
criticalmergegap,3.7
growth,1.00
PedSpeed,4.0
LostTimeAdjust,0.0

[Nodes]
Node Data
INTID,TYPE,X,Y,Z,DESCRIPTION,CBD,Inside Radius,Outside Radius,Roundabout Lanes,Circle Speed
1,1,1306788,462645,0,,,,,,
2,1,1305678,462830,0,,,,,,
3,1,1307405,454238,0,,,,,,
4,1,1303849,462509,0,,,,,,
5,1,1303022,462958,0,,,,,,
6,1,1303888,462496,0,,,,,,
7,1,1309321,458806,0,,,,,,
8,3,1301961,459760,0,,,,,,
9,1,1306490,462688,0,,,,,,
10,1,1297542,457740,0,,,,,,
11,1,1309014,456925,0,,,,,,
12,1,1307845,454293,0,,,,,,
13,1,1301949,455245,0,,,,,,
14,1,1308571,454731,0,,,,,,
15,1,1307634,454244,0,,,,,,
16,1,1297347,458015,0,,,,,,
17,1,1299935,454841,0,,,,,,
18,1,1303061,454307,0,,,,,,
19,1,1303021,454842,0,,,,,,
20,3,1300480,456000,0,,,,,,
21,1,1306092,453973,0,,,,,,
22,1,1307353,454316,0,,,,,,
23,1,1300476,455063,0,,,,,,
24,1,1303243,454140,0,,,,,,
25,1,1299977,454868,0,,,,,,
26,1,1302507,455215,0,,,,,,
27,3,1299188,456155,0,,,,,,
28,3,1306257,462645,0,,,,,,
29,1,1304938,454132,0,,,,,,
30,1,1307495,460389,0,,,,,,
31,1,1301875,455267,0,,,,,,
32,1,1301388,455251,0,,,,,,
33,1,1303907,454168,0,,,,,,
34,1,1305513,454163,0,,,,,,
35,1,1299132,454346,0,,,,,,
36,1,1304640,454108,0,,,,,,
37,1,1304574,454156,0,,,,,,
38,1,1299223,454355,0,,,,,,
39,3,1299635,456000,0,,,,,,
40,3,1299847,455362,0,,,,,,
41,1,1307205,454397,0,,,,,,
42,3,1299744,455669,0,,,,,,
43,3,1299598,456108,0,,,,,,
44,3,1299537,456294,0,,,,,,
45,3,1299161,457298,0,,,,,,
46,3,1299470,455859,0,,,,,,
47,1,1301970,463223,0,,,,,,
48,3,1299381,455684,0,,,,,,
49,3,1299332,455804,0,,,,,,
50,3,1300989,455788,0,,,,,,
51,2,1301080,455770,0,,,,,,
52,3,1299380,456706,0,,,,,,
53,3,1299290,456958,0,,,,,,
54,3,1299903,456858,0,,,,,,
55,3,1300058,457296,0,,,,,,
56,3,1298928,457420,0,,,,,,
57,3,1298666,456635,0,,,,,,
58,3,1298981,456655,0,,,,,,
59,2,1298660,457047,0,,,,,,
60,2,1300866,455953,0,,,,,,
61,3,1301390,455578,0,,,,,,
62,3,1300794,455574,0,,,,,,
63,3,1299846,456674,0,,,,,,
64,3,1300397,456679,0,,,,,,
65,3,1301950,457450,0,,,,,,
66,3,1300932,456700,0,,,,,,
67,3,1300713,456537,0,,,,,,
68,3,1300563,457581,0,,,,,,
69,3,1300542,457724,0,,,,,,
70,3,1300895,457589,0,,,,,,
71,1,1300773,456283,0,,,,,,
72,3,1301277,455889,0,,,,,,
73,3,1301208,458256,0,,,,,,
74,3,1301274,456952,0,,,,,,
75,3,1301212,458166,0,,,,,,
76,3,1301240,457606,0,,,,,,
77,2,1301772,456208,0,,,,,,
78,3,1302262,458201,0,,,,,,
79,3,1301958,458190,0,,,,,,
80,3,1301548,458520,0,,,,,,
81,1,1302588,458212,0,,,,,,
82,3,1301564,458177,0,,,,,,
83,3,1301590,457622,0,,,,,,
84,2,1301383,456344,0,,,,,,
85,3,1301768,456566,0,,,,,,
86,3,1301950,456580,0,,,,,,
88,3,1306291,462397,0,,,,,,
89,3,1306856,462489,0,,,,,,
90,2,1301322,456050,0,,,,,,
91,2,1301280,456159,0,,,,,,
92,3,1301770,456350,0,,,,,,
94,3,1301409,458413,0,,,,,,
95,3,1301153,458755,0,,,,,,
96,3,1301090,458669,0,,,,,,
97,3,1300655,458339,0,,,,,,
98,2,1300340,459522,0,,,,,,
99,3,1301199,459070,0,,,,,,
100,3,1301948,458898,0,,,,,,
101,3,1300610,459070,0,,,,,,
102,2,1300396,459440,0,,,,,,
103,2,1300511,459372,0,,,,,,
104,3,1301800,459320,0,,,,,,
105,3,1300419,459069,0,,,,,,
106,3,1300620,458980,0,,,,,,
107,3,1300234,458455,0,,,,,,
108,3,1300518,458689,0,,,,,,
109,2,1300084,458835,0,,,,,,
110,3,1301570,460060,0,,,,,,
111,3,1300503,458446,0,,,,,,
112,3,1299979,458475,0,,,,,,
113,3,1299649,458311,0,,,,,,
114,3,1299880,458518,0,,,,,,
115,1,1300724,458928,0,,,,,,
116,3,1300838,458869,0,,,,,,
117,3,1300591,459993,0,,,,,,
118,3,1300590,459670,0,,,,,,
119,3,1301286,459655,0,,,,,,
120,3,1300219,459204,0,,,,,,
121,3,1300199,459991,0,,,,,,
122,2,1299794,461789,0,,,,,,
123,3,1301480,460370,0,,,,,,
124,3,1300596,460315,0,,,,,,
125,3,1301284,460309,0,,,,,,
126,3,1299991,460309,0,,,,,,
127,3,1301285,460607,0,,,,,,
128,3,1299768,460641,0,,,,,,
129,3,1300591,460631,0,,,,,,
130,3,1305860,458560,0,,,,,,
131,1,1299075,461700,0,,,,,,
132,3,1301432,460521,0,,,,,,
133,3,1299101,461100,0,,,,,,
134,1,1298942,461601,0,,,,,,
135,3,1299420,460630,0,,,,,,
136,1,1299582,460629,0,,,,,,
137,3,1299770,461300,0,,,,,,
138,3,1300590,461290,0,,,,,,
139,3,1301308,461617,0,,,,,,
140,3,1299770,461620,0,,,,,,
141,2,1300008,461939,0,,,,,,
142,2,1300300,461947,0,,,,,,
143,2,1300540,461775,0,,,,,,
144,3,1300588,461619,0,,,,,,
145,1,1300594,461989,0,,,,,,
146,3,1300590,461703,0,,,,,,
147,3,1300980,461618,0,,,,,,
148,3,1300987,461012,0,,,,,,
149,1,1300972,462079,0,,,,,,
150,1,1299338,461746,0,,,,,,
151,3,1301300,461370,0,,,,,,
152,3,1305450,462180,0,,,,,,
153,3,1301561,461505,0,,,,,,
154,3,1301461,461300,0,,,,,,
155,2,1301848,462093,0,,,,,,
156,1,1301494,462263,0,,,,,,
